No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.11,192.168.11.5,TCP,74,,,0,"Jan  8, 2024 10:29:13.376846000 JST",,42584  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1917514397 TSecr=0 WS=128
2,0.008313,192.168.11.5,192.168.11.11,TCP,74,0.008313,,0.008313,"Jan  8, 2024 10:29:13.385159000 JST",,"6000  >  42584 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2805655308 TSecr=1917514397 WS=128"
3,0.008432,192.168.11.11,192.168.11.5,TCP,66,0.000119,,0.000119,"Jan  8, 2024 10:29:13.385278000 JST",,42584  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1917514410 TSecr=2805655308
4,0.008672,192.168.11.11,192.168.11.5,TCP,93,,,0.00024,"Jan  8, 2024 10:29:13.385518000 JST",,"42584  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1917514410 TSecr=2805655308 [TCP segment of a reassembled PDU]"
5,0.008808,192.168.11.11,192.168.11.5,TCP,66,,,0.000136,"Jan  8, 2024 10:29:13.385654000 JST",,"42584  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1917514410 TSecr=2805655308"
6,0.016156,192.168.11.5,192.168.11.11,TCP,66,0.007484,,0.007348,"Jan  8, 2024 10:29:13.393002000 JST",,6000  >  42584 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2805655317 TSecr=1917514410
7,0.016523,192.168.11.5,192.168.11.11,TCP,66,0.007715,,0.000367,"Jan  8, 2024 10:29:13.393369000 JST",,"6000  >  42584 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2805655318 TSecr=1917514410"
8,0.016572,192.168.11.11,192.168.11.5,TCP,66,0.000049,,0.000049,"Jan  8, 2024 10:29:13.393418000 JST",,42584  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1917514418 TSecr=2805655318
9,0.044766,192.168.11.11,255.255.255.255,UDP,209,,Ÿ,0.028194,"Jan  8, 2024 10:29:13.421612000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022707070222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,59127  >  7000 Len=167
10,0.055799,192.168.11.16,192.168.11.11,TCP,74,,œ,0.011033,"Jan  8, 2024 10:29:13.432645000 JST",,47292  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1432902655 TSecr=0 WS=128
